City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,auki,-8.7678,160.6978,302.84,67,39,1.2,SB,1686528334
1,flying fish cove,-10.4217,105.6791,298.97,88,100,4.63,CX,1686528334
2,new norfolk,-42.7826,147.0587,285.33,82,79,1.32,AU,1686528334
3,bredasdorp,-34.5322,20.0403,286.97,86,100,7.59,ZA,1686528335
4,fuvahmulah,-0.2988,73.424,301.06,77,73,3.24,MV,1686528335
5,edinburgh of the seven seas,-37.0676,-12.3116,289.39,84,51,13.24,SH,1686528335
6,vila velha,-20.3297,-40.2925,297.56,86,0,4.63,BR,1686528198
7,qaqortoq,60.7184,-46.0356,277.9,81,7,2.69,GL,1686528336
8,adamstown,-25.066,-130.1015,294.02,59,23,6.96,PN,1686528336
9,yellowknife,62.4541,-114.3725,277.26,93,100,7.72,CA,1686528337
10,punta arenas,-53.1548,-70.9113,276.27,87,40,9.26,CL,1686528337
11,kestel,40.1983,29.2124,286.86,81,27,1.83,TR,1686528337
12,tiksi,71.69,128.8647,273.37,90,100,6.21,RU,1686528337
13,alofi,-19.0545,-169.9177,299.19,73,94,5.14,NU,1686528338
14,ribeira grande,38.5167,-28.7,293.02,85,96,5.81,PT,1686528338
15,anadyr,64.7342,177.5103,280.13,81,40,7.0,RU,1686528338
16,khulm,36.6974,67.6983,300.36,32,22,1.56,AF,1686528339
17,talnakh,69.4865,88.3972,281.6,55,100,5.09,RU,1686528339
18,suomussalmi,64.8869,28.9078,283.56,58,85,3.39,FI,1686528339
19,nalut,31.8685,10.9812,291.79,76,0,2.86,LY,1686528340
20,koneurgench,42.3277,59.1544,295.18,21,0,4.83,TM,1686528340
21,ahau,-12.5,177.05,301.19,76,96,8.81,FJ,1686528340
22,chiredzi,-21.05,31.6667,287.65,88,0,0.9,ZW,1686528341
23,blackmans bay,-43.0031,147.3169,285.29,81,100,2.66,AU,1686528341
24,grytviken,-54.2811,-36.5092,269.6,84,29,5.03,GS,1686528341
25,san felice circeo,41.2372,13.0942,292.78,83,12,3.29,IT,1686528342
26,vorgashor,67.5836,63.794,272.91,82,97,7.69,RU,1686528342
27,lihue,21.9812,-159.3721,301.73,69,0,6.17,US,1686528342
28,mumford,5.2618,-0.759,299.2,76,91,4.33,GH,1686528343
29,recreo,-29.2818,-65.061,283.73,29,2,4.1,AR,1686528344
30,cukai,4.25,103.4167,297.12,93,100,3.16,MY,1686528344
31,vilyuysk,63.7468,121.6334,280.78,65,99,5.17,RU,1686528345
32,torbat-e heydariyeh,35.274,59.2195,295.04,20,26,2.11,IR,1686528345
33,bilibino,68.0546,166.4372,290.23,55,100,4.13,RU,1686528345
34,ushuaia,-54.8108,-68.3159,274.29,93,100,10.29,AR,1686528346
35,iqaluit,63.747,-68.5173,275.22,74,75,9.26,CA,1686528346
36,waitangi,-43.9535,-176.5597,286.94,91,99,0.89,NZ,1686528346
37,west island,-12.1568,96.8225,299.14,73,40,11.34,CC,1686528347
38,kidal,18.4411,1.4078,305.85,32,31,4.15,ML,1686528347
39,puerto natales,-51.7299,-72.506,278.87,78,90,7.17,CL,1686528347
40,indianola,33.451,-90.6551,303.11,67,75,5.98,US,1686528348
41,albany,-35.0269,117.8837,286.28,60,78,6.19,AU,1686528348
42,bellizzi,40.6198,14.9469,294.09,87,32,1.53,IT,1686528348
43,wailua homesteads,22.0724,-159.3768,301.48,75,0,6.17,US,1686528348
44,urangan,-25.2921,152.9054,293.69,72,1,1.99,AU,1686528349
45,bethel,60.7922,-161.7558,287.34,51,75,8.23,US,1686528349
46,whitehorse,60.7161,-135.0538,287.6,38,100,8.23,CA,1686528350
47,port sudan,19.6175,37.2164,304.97,50,5,2.88,SD,1686528350
48,kavieng,-2.5734,150.7952,302.01,76,44,6.1,PG,1686528350
49,fortuna,40.5982,-124.1573,288.11,87,75,4.12,US,1686528350
50,cidreira,-30.1811,-50.2056,285.71,69,56,5.22,BR,1686528351
51,port-aux-francais,-49.3492,70.2194,278.26,92,100,18.12,TF,1686528351
52,zhangatas,43.5622,69.7343,294.25,24,49,10.64,KZ,1686528351
53,longyearbyen,78.22,15.65,276.21,87,75,1.03,SJ,1686528125
54,prince george,53.9166,-122.753,299.96,22,0,1.54,CA,1686528096
55,cambria,35.5641,-121.0808,294.56,76,80,2.41,US,1686528352
56,keflavik,64.0049,-22.5624,282.1,76,100,7.72,IS,1686528353
57,el banco,9.0011,-73.9758,300.0,89,61,1.09,CO,1686528353
58,nejo,9.5,35.5,287.42,95,100,1.01,ET,1686528353
59,hermanus,-34.4187,19.2345,287.48,83,99,9.23,ZA,1686528354
60,berdigestyakh,62.0984,126.6957,286.51,76,99,3.96,RU,1686528354
61,thompson,55.7435,-97.8558,299.24,31,40,5.14,CA,1686528354
62,hamilton,32.2949,-64.783,295.01,79,75,2.06,BM,1686528355
63,viedma,-40.8135,-62.9967,282.45,58,45,6.12,AR,1686528355
64,kargopol',61.5036,38.9486,279.31,78,31,2.44,RU,1686528355
65,la passe,-4.3481,55.8327,299.55,79,94,6.26,SC,1686528356
66,port elizabeth,-33.9611,25.6149,288.14,94,20,7.2,ZA,1686528356
67,praia da vitoria,38.7333,-27.0667,292.29,88,20,3.45,PT,1686528356
68,glazov,58.1393,52.658,275.74,73,12,0.24,RU,1686528357
69,motueka,-41.1333,173.0167,286.54,60,2,1.48,NZ,1686528357
70,mil'kovo,54.6961,158.6207,290.86,49,0,0.89,RU,1686528357
71,nizhniy kuranakh,58.8238,125.5228,294.25,77,82,2.19,RU,1686528358
72,enewetak,11.3474,162.3373,301.13,80,88,7.33,MH,1686528358
73,jamestown,-15.9387,-5.7168,292.13,69,13,10.59,SH,1686528358
74,college,64.8569,-147.8028,292.36,40,100,5.14,US,1686528359
75,ust-nera,64.5697,143.237,292.97,48,100,4.68,RU,1686528359
76,papatowai,-46.5607,169.4707,283.5,78,67,4.25,NZ,1686528359
77,puerto ayora,-0.7402,-90.3138,299.86,89,96,4.47,EC,1686528360
78,al-`ula,26.6085,37.9232,300.68,25,0,1.72,SA,1686528360
79,puerto san jose,13.9274,-90.8217,301.91,76,81,2.59,GT,1686528360
80,malvan,16.0598,73.4629,301.55,79,61,7.74,IN,1686528360
81,stanley,-51.6938,-57.857,273.31,77,100,19.5,FK,1686528361
82,mar del plata,-38.0,-57.56,278.2,64,0,3.09,AR,1686528044
83,issia,6.4922,-6.5856,295.29,99,100,1.55,CI,1686528361
84,copala,16.6077,-98.9782,303.38,64,99,2.34,MX,1686528362
85,laojunmiao,39.8333,97.7333,294.42,22,1,3.59,CN,1686528362
86,isangel,-19.5417,169.2817,297.48,65,40,3.6,VU,1686528362
87,margaret river,-33.955,115.076,286.73,68,99,4.78,AU,1686528363
88,hawaiian paradise park,19.5933,-154.9731,300.95,70,0,3.09,US,1686528363
89,mahajanga,-15.7167,46.3167,294.16,94,20,2.57,MG,1686528363
90,swift current,50.2834,-107.8014,299.6,34,0,4.12,CA,1686528364
91,manzini,-26.4988,31.38,284.11,31,0,2.67,SZ,1686528364
92,tevriz,57.509,72.4042,278.9,89,67,2.1,RU,1686528364
93,etikoppaka,17.5,82.7333,302.82,52,100,2.76,IN,1686528365
94,lorengau,-2.0341,147.2717,301.66,80,26,3.56,PG,1686528365
95,changuinola,9.43,-82.52,298.11,69,99,0.89,PA,1686528366
96,vila franca do campo,37.7167,-25.4333,291.38,84,100,2.82,PT,1686528366
97,udachny,66.4299,112.4021,275.04,86,52,6.94,RU,1686528366
98,san patricio,19.2253,-104.7045,302.15,74,40,5.14,MX,1686528367
99,chernyshevskiy,63.016,112.469,279.11,55,46,4.28,RU,1686528367
100,buka,-5.4326,154.671,302.63,71,66,3.81,PG,1686528367
101,sishilichengzi,41.9619,86.4767,299.5,23,11,1.95,CN,1686528368
102,guiria,10.5772,-62.2984,300.72,79,20,4.3,VE,1686528368
103,iskateley,67.6803,53.1512,276.64,60,100,2.88,RU,1686528368
104,naryn,41.4287,75.9911,286.48,71,62,2.94,KG,1686528369
105,kas,36.2018,29.6377,294.3,86,79,0.7,TR,1686528369
106,hithadhoo,-0.6,73.0833,301.08,76,61,3.41,MV,1686528370
107,petropavlovsk-kamchatsky,53.0444,158.6508,292.48,40,0,2.0,RU,1686528370
108,torvaianica,41.6211,12.462,294.81,62,54,0.89,IT,1686528370
109,atbasar,51.8065,68.36,288.97,61,50,2.62,KZ,1686528371
110,molalla,45.1473,-122.577,302.11,45,0,5.66,US,1686528371
111,cestos city,5.4568,-9.5817,298.35,90,97,5.25,LR,1686528371
112,tralee,52.2704,-9.7026,286.05,94,33,1.13,IE,1686528372
113,abadan,38.0542,58.1972,299.99,41,53,7.2,TM,1686528372
114,farasan,16.7022,42.1183,305.53,72,91,7.03,SA,1686528372
115,boguchany,58.3814,97.4531,284.83,50,0,2.24,RU,1686528373
116,dapa,9.7594,126.0531,301.46,74,100,1.42,PH,1686528373
117,masina,-4.3836,15.3914,298.31,78,75,3.09,CD,1686528373
118,ilulissat,69.2198,-51.0986,275.31,87,75,2.57,GL,1686528374
119,inarajan village,13.2736,144.7485,303.93,85,97,8.66,GU,1686528374
120,shevchenko,43.6481,51.1722,296.32,34,86,6.44,KZ,1686528374
121,labytnangi,66.6572,66.4183,276.99,74,100,6.54,RU,1686528375
122,wanning,18.7993,110.3841,299.97,89,100,1.65,CN,1686528375
123,little cayman,19.6611,-80.1098,303.13,79,33,6.9,KY,1686528375
124,mata-utu,-13.2816,-176.1745,300.65,81,48,6.48,WF,1686528123
125,valbonne,43.6329,6.9991,294.66,82,0,3.6,FR,1686528358
126,coquimbo,-29.9533,-71.3395,285.08,82,0,4.63,CL,1686528376
127,invercargill,-46.4,168.35,282.6,87,92,4.03,NZ,1686528364
